,school,conference,position,height
773,University of Louisiana at Lafayette,Sun Belt Conference,G,5-6
774,University of Louisiana at Lafayette,Sun Belt Conference,G,5-5
775,La Salle University,Atlantic 10 Conference,G,5-9
776,La Salle University,Atlantic 10 Conference,F,6-0
777,La Salle University,Atlantic 10 Conference,F,5-10
778,La Salle University,Atlantic 10 Conference,F,6-0
779,La Salle University,Atlantic 10 Conference,,-
780,La Salle University,Atlantic 10 Conference,G,5-7
781,La Salle University,Atlantic 10 Conference,F,6-2
782,La Salle University,Atlantic 10 Conference,,-
783,La Salle University,Atlantic 10 Conference,,-
784,La Salle University,Atlantic 10 Conference,G,-
785,La Salle University,Atlantic 10 Conference,F,6-4
786,La Salle University,Atlantic 10 Conference,F,5-10
787,La Salle University,Atlantic 10 Conference,F,5-11
788,La Salle University,Atlantic 10 Conference,C,-
789,La Salle University,Atlantic 10 Conference,,-
790,University of Notre Dame,Atlantic Coast Conference,G,5-7
791,University of Notre Dame,Atlantic Coast Conference,G,5-11
792,University of Notre Dame,Atlantic Coast Conference,G,5-4
793,University of Notre Dame,Atlantic Coast Conference,G,5-9
794,University of Notre Dame,Atlantic Coast Conference,G,5-8
795,University of Notre Dame,Atlantic Coast Conference,G,5-10
796,University of Notre Dame,Atlantic Coast Conference,G,5-10
797,University of Notre Dame,Atlantic Coast Conference,F,6-3
798,University of Notre Dame,Atlantic Coast Conference,F,6-3
799,University of Notre Dame,Atlantic Coast Conference,C,6-4
800,University of Notre Dame,Atlantic Coast Conference,F,6-3
